統計4-7 来日外国人の主な国籍別検挙状況の推移（平成27年〜令和6年） 刑法犯,,,,,,,,,,,,
,,,,,,,,,,,,
,,年次,平成27,28,29,30,令和元,2,3,4,5,6
区分,,,,,,,,,,,,
刑法犯検挙件数,刑法犯検挙件数,,"9,417","9,043","11,012","9,573","9,148","9,512","9,105","8,548","10,040","13,405"
刑法犯検挙件数,ベトナム,,"2,556","2,142","3,591","2,993","3,021","2,931","3,539","3,579","4,082","5,992"
刑法犯検挙件数,ベトナム,,27.10%,23.70%,32.60%,31.30%,33.00%,30.80%,38.90%,41.90%,40.70%,44.70%
刑法犯検挙件数,中国,,"2,390","2,761","2,682","1,795","2,321","2,666","2,144","1,965","1,932","1,779"
刑法犯検挙件数,中国,,25.40%,30.50%,24.40%,18.80%,25.40%,28.00%,23.50%,23.00%,19.20%,13.30%
刑法犯検挙件数,カンボジア,,3,5,8,10,13,47,33,56,153,638
刑法犯検挙件数,カンボジア,,0.00%,0.10%,0.10%,0.10%,0.10%,0.50%,0.40%,0.70%,1.50%,4.80%
刑法犯検挙件数,ブラジル,,"1,282",495,839,795,650,682,514,461,467,538
刑法犯検挙件数,ブラジル,,13.60%,5.50%,7.60%,8.30%,7.10%,7.20%,5.60%,5.40%,4.70%,4.00%
刑法犯検挙件数,フィリピン,,450,509,418,375,415,339,524,397,403,519
刑法犯検挙件数,フィリピン,,4.80%,5.60%,3.80%,3.90%,4.50%,3.60%,5.80%,4.60%,4.00%,3.90%
刑法犯検挙人員,刑法犯検挙人員,,"6,187","6,097","6,113","5,844","5,563","5,634","5,573","5,014","5,735","6,368"
刑法犯検挙人員,ベトナム,,"1,475","1,470","1,443","1,373","1,244","1,495","1,908","1,581","1,608","1,578"
刑法犯検挙人員,ベトナム,,23.80%,24.10%,23.60%,23.50%,22.40%,26.50%,34.20%,31.50%,28.00%,24.80%
刑法犯検挙人員,中国,,"1,848","1,737","1,623","1,435","1,451","1,473","1,309","1,140","1,231","1,254"
刑法犯検挙人員,中国,,29.90%,28.50%,26.50%,24.60%,26.10%,26.10%,23.50%,22.70%,21.50%,19.70%
刑法犯検挙人員,フィリピン,,435,420,422,368,391,335,374,334,357,449
刑法犯検挙人員,フィリピン,,7.00%,6.90%,6.90%,6.30%,7.00%,5.90%,6.70%,6.70%,6.20%,7.10%
刑法犯検挙人員,ブラジル,,358,322,362,333,318,351,305,322,335,365
刑法犯検挙人員,ブラジル,,5.80%,5.30%,5.90%,5.70%,5.70%,6.20%,5.50%,6.40%,5.80%,5.70%
刑法犯検挙人員,ネパール,,96,180,166,227,212,209,204,207,231,306
刑法犯検挙人員,ネパール,,1.60%,3.00%,2.70%,3.90%,3.80%,3.70%,3.70%,4.10%,4.00%,4.80%
注：「中国」は「中国（香港等）」及び「中国（台湾）」を含まない。,,,,,,,,,,,,
